speaker_model,speaker_loss,listener_loss,context_type,i_iter,round_num,target,context,caption,scores,num_words,learning_rate,num_steps,targetScore
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,1,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a close up of a person sitting on a bench,[[-0.56535244 -2.9124641  -1.1657133  -2.7211657 ]],12,0.0005,6,-0.56535244
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,1,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a close up of a person sitting on a bench,[[-0.20303583 -3.2012763  -2.0540872  -4.2110286 ]],12,0.0005,6,-3.2012763
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,1,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a group of people sitting on a bench,[[-2.6949458  -2.41336    -5.384435   -0.17631674]],10,0.0005,6,-0.17631674
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,1,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a person sitting on a bench,[[-0.67482376 -1.4107466  -2.4453201  -1.8319921 ]],8,0.0005,6,-2.4453201
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,2,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",there,[[-1.5930557 -0.7305789 -1.4502249 -2.5188904]],3,0.0005,6,-0.7305789
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,2,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a person sitting on a bench,[[-0.62682366 -3.2426078  -0.8654163  -5.154107  ]],8,0.0005,6,-0.62682366
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,2,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",people,[[-4.61058    -5.599776   -6.102759   -0.01600885]],3,0.0005,6,-0.016008854
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,2,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",person,[[-1.2073716  -3.120345   -0.42174235 -6.9351487 ]],3,0.0005,6,-0.42174235
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,3,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",people,[[-6.8011770e+00 -6.4898429e+00 -7.4469643e+00 -3.2196641e-03]],3,0.0005,6,-0.003219664
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,3,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",person,[[-2.8972816  -3.371625   -0.09412619 -8.030742  ]],3,0.0005,6,-0.094126195
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,3,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",there,[[-4.528987   -0.03509629 -6.4149156  -3.814034  ]],3,0.0005,6,-0.035096288
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,3,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a person sitting on a bench,[[-0.01028895 -8.420814   -4.9187946  -5.9115334 ]],8,0.0005,6,-0.010288954
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,4,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",person,[[-0.97239804 -5.656909   -0.49444985 -4.776514  ]],3,0.0005,6,-0.49444985
S0,SCE+SKL+SR+LCE,SCE+SKL+SR+LCE,challenge,0,4,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg,"['/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000318888.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000193401.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000212545.jpg', '/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000468043.jpg']",a bench,[[-0.13955855 -2.507899   -5.0398283  -3.1619341 ]],4,0.0005,6,-0.13955855
