context_type,i_iter,loss,ds_type,gameid,trial_num,rep_num,target,caption,scores,num_words,learning_rate,num_steps,target_score,cap_score,correct
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,0,0,COCO_val2014_000000307172.jpg,picture with fingers pulling apart a slice,[-0.83657837 -1.4654541  -1.2433472  -3.0486984 ],42,0.0005,6,-0.83657837,"tensor([[-54.6933]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,1,0,COCO_val2014_000000320872.jpg,look for the fingers touching the pizza,[-0.8190689 -1.3460197 -1.6326904 -2.2683678],39,0.0005,6,-1.3460197,"tensor([[-40.5653]], device='cuda:1', grad_fn=<AsStridedBackward>)",False
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,2,0,COCO_val2014_000000360393.jpg,look for the pizza with the red peppers,[-1.958498   -0.78822327 -1.7289524  -1.4836559 ],39,0.0005,6,-1.7289524,"tensor([[-32.5619]], device='cuda:1', grad_fn=<AsStridedBackward>)",False
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,3,0,COCO_val2014_000000116208.jpg,the pizza raised off the table on a stand,[-2.1119766  -1.5659981  -2.1006813  -0.60194016],41,0.0005,6,-0.60194016,"tensor([[-37.1396]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,4,1,COCO_val2014_000000360393.jpg,the pizza with lots of red peppers that has not been baked yet,[-2.3685265 -1.9011002 -1.3610153 -0.6919937],62,0.0005,6,-1.3610153,"tensor([[-53.1249]], device='cuda:1', grad_fn=<AsStridedBackward>)",False
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,5,1,COCO_val2014_000000307172.jpg,the pizza with fingers pulling at the crust and green all the way around the edge,[-0.8401871 -0.8655014 -4.1796036 -2.0232468],81,0.0005,6,-0.8401871,"tensor([[-67.7344]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,6,1,COCO_val2014_000000320872.jpg,pizza with a fanta next to it,[-3.511982   -2.9957523  -0.658432   -0.91005707],29,0.0005,6,-2.9957523,"tensor([[-23.6294]], device='cuda:1', grad_fn=<AsStridedBackward>)",False
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,7,1,COCO_val2014_000000116208.jpg,pizza raised up off table on a stand with wine bottles behind it,[-3.6179924  -4.715702   -3.5621567  -0.06631851],64,0.0005,6,-0.06631851,"tensor([[-54.3862]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,8,2,COCO_val2014_000000360393.jpg,"red peppers, pizza not cooked on kitchen counter",[-4.4715385  -6.3414383  -0.07255173 -2.8683891 ],48,0.0005,6,-0.07255173,"tensor([[-43.0623]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,9,2,COCO_val2014_000000320872.jpg,cooked pizza with orange fanta can next to it,[-2.1326637  -0.74996567 -1.3993301  -1.8180923 ],45,0.0005,6,-0.74996567,"tensor([[-39.4368]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
challenge,0,SCE+SKL+SR+LCE,NP,1153-af9de58e-28b3-498b-bc68-b8f65e77d47c,10,2,COCO_val2014_000000307172.jpg,two hands pulling at the pizza with chunks of cheese,[-0.47481155 -1.0229721  -5.861      -4.1588554 ],52,0.0005,6,-0.47481155,"tensor([[-37.6774]], device='cuda:1', grad_fn=<AsStridedBackward>)",True
