i_iter,loss,gameid,trial_num,target_img,control_caption,model_caption,human_caption,control_score,first_score,last_score
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,0,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000391199.jpg,a white toilet sitting next to a toilet in a bathroom .,man,Man in a hat on a phone,-9.994364738464355,-17.88884162902832,-21.011018753051758
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,1,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000297578.jpg,a white toilet sitting next to a toilet in a bathroom .,man,man smoking,-9.579413414001465,-8.380973815917969,-13.524232864379883
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,2,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000386089.jpg,a white toilet sitting next to a toilet in a bathroom .,man,man in glasses no hat,-9.896137237548828,-5.586002826690674,-11.728590965270996
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,3,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000059567.jpg,a white toilet sitting next to a toilet in a bathroom .,man,black and white man,-10.076743125915527,-9.918319702148438,-10.059329986572266
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,4,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000386089.jpg,a white toilet sitting next to a toilet in a bathroom .,glasses,glasses no hat,-9.989753723144531,-3.822032928466797,-8.413220405578613
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,5,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000059567.jpg,a white toilet sitting next to a toilet in a bathroom .,black and white,black and white,-10.501459121704102,-7.5413289070129395,-5.1959991455078125
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,6,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000391199.jpg,a white toilet sitting next to a toilet in a bathroom .,hat,hat,-10.20995807647705,-7.672764301300049,-5.356774806976318
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,7,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000297578.jpg,a white toilet sitting next to a toilet in a bathroom .,smoking,smoking,-10.568154335021973,-3.4994301795959473,-6.072895526885986
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,8,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000386089.jpg,a white toilet sitting next to a toilet in a bathroom .,hat,glasses no hat,-10.540369033813477,-3.802980422973633,-3.2248644828796387
0,SCE+SKL+SR+LCE,5200-ecd26486-833f-4eef-bb12-04a51771a46c,9,/data/rxdh/conventions_data/resized_val2014/COCO_val2014_000000059567.jpg,a white toilet sitting next to a toilet in a bathroom .,black and white,black and white,-10.649056434631348,-5.463006019592285,-0.8544101715087891
