iterationName,context_id,gameid,time,trialNum,repNum,targetImg,msg,timeFromRoundStart
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515453994e+12,0,0,COCO_val2014_000000571804.jpg,a bunch of vases sitting on top of a table,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515464009e+12,1,0,COCO_val2014_000000006460.jpg,a person riding a surf board in the ocean,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515473156e+12,2,0,COCO_val2014_000000579970.jpg,a living room filled with lots of furniture,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515481554e+12,3,0,COCO_val2014_000000426611.jpg,a train that is sitting on a train track,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515490945e+12,4,1,COCO_val2014_000000579970.jpg,living room,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515500635e+12,5,1,COCO_val2014_000000571804.jpg,vases,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515509523e+12,6,1,COCO_val2014_000000006460.jpg,person,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515518684e+12,7,1,COCO_val2014_000000426611.jpg,train,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515529523e+12,8,2,COCO_val2014_000000571804.jpg,vases,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515537809e+12,9,2,COCO_val2014_000000006460.jpg,board,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515548551e+12,10,2,COCO_val2014_000000426611.jpg,train,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515557132e+12,11,2,COCO_val2014_000000579970.jpg,living room,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515566074e+12,12,3,COCO_val2014_000000571804.jpg,vases,5000
testing,54,2837-8124bc31-8c9d-4fe6-a43f-837e43e2073f,1.569515571769e+12,0,0,COCO_val2014_000000462006.jpg,a closeup of a person eating a piece of pizza,5000
testing,63,9475-dad5ed1a-d420-42fe-8523-f49692fce984,1.569515577154e+12,13,3,COCO_val2014_000000006460.jpg,ocean,5000
testing,54,2837-8124bc31-8c9d-4fe6-a43f-837e43e2073f,1.569515583473e+12,1,0,COCO_val2014_000000251936.jpg,a brown bear sitting on top of a sandy beach,5000
