iterationName,gameid,time,score,confused,strategy,comments,totalLength,ratePartner,nativeEnglish,score,role
testing,6491-b402d171-eafa-40fe-9870-6e807c99c3e7,1.555223102071e+12,0,no,asdf asdf,asdf asdf,14347,okay,no,0,speaker
testing,9030-993ee59f-4d78-4024-9798-4b4ef12adc99,1.555223163858e+12,0,no,asdf asdf,asdf asdf,15862,not much,yes,0,speaker
testing,9030-993ee59f-4d78-4024-9798-4b4ef12adc99,1.555223185991e+12,0,,hahahaha no,,37200,,yes,0,listener
testing,5051-472d790c-b519-4755-b62e-117ab73a728a,1.555311519257e+12,39,yes,tried to be informative,asdf asdf,239730,okay,yes,39,speaker
pilot0,4240-37ed35c7-4ae0-467d-ab2a-790ea5c8defa,1.555353757782e+12,0,yes,Use the message to decide which photo it is referring to,n/a,52336,okay,yes,0,listener
pilot0,4891-a9def950-a0fa-4d7b-a9ad-b34b5afac491,1.555354069608e+12,48,yes,Listen,,239463,okay,yes,48,listener
pilot0,4891-a9def950-a0fa-4d7b-a9ad-b34b5afac491,1.555354085157e+12,48,yes,"Type a very obvious singular characteristic,","Seems way too easy,",258901,liked,yes,48,speaker
pilot0,2635-51f6aa15-c301-4b51-b134-c229603e1be5,1.555354348182e+12,46,yes,"I described the pictures to the best of my ability,",n/a,508159,loved,yes,46,speaker
pilot0,2635-51f6aa15-c301-4b51-b134-c229603e1be5,1.555354384479e+12,46,yes,"The speaker described the images really well, no guesses here","I'm not sure if my partner made a mistake in round 3, i clicked the right image",431593,loved,yes,46,listener
pilot0,2575-894b8bf3-1a9e-40c8-acd2-9b3b73641f4a,1.55535446325e+12,48,yes,"described a few details that were specific to that photo, slowly used less and less words,",n/a,352277,loved,yes,48,speaker
pilot0,2575-894b8bf3-1a9e-40c8-acd2-9b3b73641f4a,1.555354474746e+12,48,yes,"I would describe my strategy in this experiment as the listener is to mainly listen to what the speaker is describing and act on that description,",n/a,354087,loved,yes,48,listener
pilot0,3677-c2eb2cdd-90e1-4d2a-b236-d5af2b615a54,1.555354620517e+12,16,yes,"I used shirts like specifying color to describe the photo,",,311928,loved,yes,16,speaker
pilot0,4630-01759724-8083-43e0-b26e-813e70d82e1d,1.555354826346e+12,6,yes,Describing the colors in the pictures,My partner was disconnected for some reason,234244,liked,yes,6,speaker
pilot0,6254-4d5fa351-4182-4e6b-ad6d-8b7177f48ad5,1.55535539505e+12,44,yes,"I tried to understand my partner's description as closely as possible,",,380211,loved,yes,44,listener
pilot0,6254-4d5fa351-4182-4e6b-ad6d-8b7177f48ad5,1.555355416669e+12,44,yes,"Avoiding saying just ""upper-right"" since for some reason that exact same phrasing in isolation always confused them, even though it never came up in any other context,","No,",458996,okay,yes,44,speaker
pilot0,5646-5e626710-a547-4f40-b725-b305d48bdc4f,1.555356076787e+12,48,yes,just listening to what they said,,385795,loved,yes,48,listener
pilot0,5646-5e626710-a547-4f40-b725-b305d48bdc4f,1.555356077672e+12,48,yes,just describe cat in relation to monitor,,702842,liked,yes,48,speaker
full_sample,6662-944feb90-3dcd-434a-9748-4a71417bb4d9,1.555373239158e+12,46,yes,just listening to what the speaker said to click,,324503,loved,yes,46,listener
full_sample,6662-944feb90-3dcd-434a-9748-4a71417bb4d9,1.555373252995e+12,46,yes,using the same words over and over again and keeping it short,no,340500,loved,yes,46,speaker
full_sample,2740-3a3091eb-b0ca-4ba2-8a33-8badb85efc06,1.555373263938e+12,48,yes,read the description of my partner,n/a,306093,okay,yes,48,listener
full_sample,2740-3a3091eb-b0ca-4ba2-8a33-8badb85efc06,1.555373268821e+12,48,yes,Describing the picture in as few as words as possible so I could get done as fast as possible,No problems,343731,liked,yes,48,speaker
