iterationName,gameid,time,score,confused,strategy,comments,totalLength,ratePartner,isHuman,nativeEnglish,score,role
testing,3263-0203c03a-29fd-4cd2-a020-bf9099e4bf1c,1.556769434969e+12,36,yes,I did some stuff,asdf,769893,okay,,yes,36,speaker
testing,8886-db198c57-fa80-41e0-94c9-17fd09be384f,1.556770266511e+12,8,yes,I tried not to be stupid,now,293852,not much,,yes,8,speaker
testing,2627-90a4153c-bde1-43fa-8c6b-670f0730895b,1.556770756897e+12,2,yes,,ok,58738,,program,,2,speaker
testing,2627-90a4153c-bde1-43fa-8c6b-670f0730895b,1.556770758997e+12,2,yes,,ok,60824,,program,,2,speaker
testing,2627-90a4153c-bde1-43fa-8c6b-670f0730895b,1.556770759642e+12,2,yes,,ok,61484,,program,,2,speaker
testing,2627-90a4153c-bde1-43fa-8c6b-670f0730895b,1.556770759849e+12,2,yes,,ok,61699,,program,,2,speaker
testing,2627-90a4153c-bde1-43fa-8c6b-670f0730895b,1.556770760043e+12,2,yes,,ok,61891,,program,,2,speaker
testing,2627-90a4153c-bde1-43fa-8c6b-670f0730895b,1.556770760258e+12,2,yes,,ok,62105,,program,,2,speaker
pilot0,8833-a576845f-2cf0-46c1-a623-2bc1c8b2267d,1.556779752726e+12,46,yes,describe the picture,no,609425,okay,program,yes,46,speaker
pilot0,3569-a20832b9-69ac-4608-b397-7f5fe3804339,1.556780422849e+12,16,yes,I mentioned the features which are not common for the other pictures,no,1449231,not much,program,no,16,speaker
pilot1_knowitsarobot,5027-5e5e18c9-69e8-422a-8e80-cbd71bacd2e5,1.556825761244e+12,28,yes,"Turns out being less descriptive and only using colors and using them in order from top-down was the key, It took me awhile to figure out to change my tactics,","I hope it was okay to say the same things repeatedly, because those things were all that was working, And I was being rewarded for it,",638676,not much,program,yes,28,speaker
pilot1_knowitsarobot,9671-d8a41ed7-20c8-4f84-8291-73bd9bd9944f,1.556826018279e+12,24,yes,"I tried to identify objects and/or foods that were only evident in one of the pictures, to make it easier for my partner to guess,",Thank you for the interesting experiment!,666084,not much,program,yes,24,speaker
pilot1_knowitsarobot,8435-d91733da-e82c-4c2f-b495-d232832a3e07,1.55682605189e+12,44,yes,"I used more descriptive terms to start, and then tried to make it easier and simple,",,1278272,liked,program,yes,44,speaker
pilot1_knowitsarobot,8079-077b603f-b383-4671-8d86-3d4877ebcbb2,1.556826579705e+12,34,yes,"At first I was trying to be as descriptive as possible, Over time, as it seemed like they were figuring things out, I used fewer words and just focused on key aspects,","No problems,",1097903,okay,program,yes,34,speaker
pilot1_knowitsarobot,7832-0603c28f-17ab-48f3-8d6d-ec1a6bf69610,1.556826831428e+12,24,yes,Pick distinct objects and colors,no,423775,not much,program,yes,24,speaker
pilot1_knowitsarobot,0641-a11a656d-accf-4174-a283-ffa267407ed2,1.556832332176e+12,40,yes,I found unique one word descriptions to describe each photo,no,443745,liked,program,yes,40,speaker
pilot1_knowitsarobot,7198-5687ae5b-0107-41b0-9e57-ea1aa5bc2d1b,1.556832627501e+12,40,yes,describe in detail what i saw,no,511468,okay,human,yes,40,speaker
pilot1_knowitsarobot,0187-4890dcc0-1337-4686-8a32-3b29dab2cd52,1.556832882423e+12,30,yes,"Use easy descriptions,
Repeat ones that work,
Find most identifiable features,",No,835001,not much,program,yes,30,speaker
pilot1_knowitsarobot,4138-bb975f6e-e402-49da-876b-40b43448673d,1.556833096388e+12,42,yes,"I tried to figure out which descriptors were most effective, For example, mentioning color was very effective,","I didn't notice any problems,",989896,liked,program,yes,42,speaker
pilot1_knowitsarobot,1213-d132d50d-aece-4f23-a997-60dce9c05cc3,1.5568339246e+12,44,yes,"Describe the most obvious features,","I didn't notice any problems,",603577,liked,human,yes,44,speaker
pilot1_knowitsarobot,4873-d3398394-9313-4aeb-987d-3fd141d1b490,1.556833963246e+12,34,yes,very unique as well as educational taking time to identify items in picture,no,860681,liked,human,yes,34,speaker
pilot1_knowitsarobot,8556-b4ff8c4b-c07a-4c8f-b1d3-22c8cdbe9ef0,1.556834139623e+12,38,yes,"I tried to reword my sentences until it figured out what I was referring to then stuck with that phrasing,",,499123,okay,program,yes,38,speaker
pilot1_knowitsarobot,4985-09ab8f47-3a58-42e0-9dbc-174f96be5afe,1.556834846978e+12,42,yes,"I started with the thing that differentiated the pictures and then after we got on the same page I used one specific word or phrase from the first description to make it more efficient,",no,494614,liked,program,yes,42,speaker
