iterationName,context_id,gameid,time,trialNum,repNum,targetImg,msg,timeFromRoundStart
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374841847e+12,0,0,COCO_val2014_000000001347.jpg,computer monitor with a laptop,9900
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374856563e+12,1,0,COCO_val2014_000000402623.jpg,cartoon umbrellas with a dog,3645
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374878948e+12,2,0,COCO_val2014_000000383322.jpg,people on a scooter with buses,3602
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374895101e+12,3,0,COCO_val2014_000000363922.jpg,people in a room with a surfboard,6120
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.56937490391e+12,4,1,COCO_val2014_000000001347.jpg,the computers,1476
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374911078e+12,5,1,COCO_val2014_000000402623.jpg,umbrellas,1149
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374921046e+12,6,1,COCO_val2014_000000383322.jpg,buses and scooter,4300
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374931467e+12,7,1,COCO_val2014_000000363922.jpg,people in room with surfboard,3083
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374938552e+12,8,2,COCO_val2014_000000402623.jpg,umbrellas,1082
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374945411e+12,9,2,COCO_val2014_000000001347.jpg,computers,785
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374951694e+12,10,2,COCO_val2014_000000383322.jpg,asdf ,655
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374963001e+12,11,2,COCO_val2014_000000363922.jpg,asdf,1059
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374970275e+12,12,3,COCO_val2014_000000383322.jpg,asdf,2230
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374980921e+12,13,3,COCO_val2014_000000402623.jpg,asdf,384
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569374986053e+12,14,3,COCO_val2014_000000001347.jpg,asdf ,392
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.56937499154e+12,15,3,COCO_val2014_000000363922.jpg,fasdfasdf asdf ,1947
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.56937500234e+12,16,4,COCO_val2014_000000383322.jpg,asdf,228
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375008076e+12,17,4,COCO_val2014_000000001347.jpg,asdf,1224
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375012293e+12,18,4,COCO_val2014_000000363922.jpg,asdf,694
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375017147e+12,19,4,COCO_val2014_000000402623.jpg,asdf,869
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375022389e+12,20,5,COCO_val2014_000000363922.jpg,asdf,395
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375026685e+12,21,5,COCO_val2014_000000383322.jpg,asdf,640
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375031189e+12,22,5,COCO_val2014_000000402623.jpg,asdf,381
pilot0,68,0443-13705438-9a51-4cda-a0da-d3ca01918ceb,1.569375035684e+12,23,5,COCO_val2014_000000001347.jpg,asdf,928
pilot0,94,6933-930ec315-e0cc-438e-8669-c5bc1964ef51,1.569375982026e+12,0,0,COCO_val2014_000000392320.jpg,cook in kitchen,4580
pilot0,94,6933-930ec315-e0cc-438e-8669-c5bc1964ef51,1.569375990167e+12,1,0,COCO_val2014_000000048475.jpg,laptop,1997
pilot0,94,6933-930ec315-e0cc-438e-8669-c5bc1964ef51,1.56937600452e+12,2,0,COCO_val2014_000000117352.jpg,farmers market,3174
pilot0,94,6933-930ec315-e0cc-438e-8669-c5bc1964ef51,1.569376011792e+12,3,0,COCO_val2014_000000359947.jpg,microwave,2175
